name,source_ref,source_pool,decision,tier,category,relevance_score,quality_score,freshness_score,stability_score,uniqueness_score,ai_density_score,ai_density_estimate,marketing_risk,marketing_penalty,shallow_content_penalty,commercial_content_ratio,commercial_commentary_penalty,generic_tech_ratio,generic_tech_penalty,source_dependency_risk,final_score,exclusion_reason,keep_or_drop_reason
Google DeepMind Blog,https://deepmind.google/discover/blog/rss.xml,curated_ai_sources,keep,S,official,10,10,8,8,10,10,high,low,0,0,0.0,0,0.0,0,2,9.5,,DeepMind 官方研究、模型和安全进展的长文源。
Martin Fowler,https://martinfowler.com/feed.atom,temporary_rss_pool,drop,C,,2,3,5,6,4,2,low,low,1,3,0.1,1,0.2,2,2,,low_ai_density,未证明最近内容长期保持高 AI 密度。
AWS Architecture Blog,http://www.awsarchitectureblog.com/atom.xml,temporary_rss_pool,drop,C,,2,3,5,6,4,2,low,low,1,3,0.1,1,0.2,2,2,,low_ai_density,未证明最近内容长期保持高 AI 密度。
Spring Blog,http://spring.io/blog.atom,temporary_rss_pool,drop,C,,2,3,5,6,4,2,low,low,1,3,0.1,1,0.2,2,2,,low_ai_density,未证明最近内容长期保持高 AI 密度。
UX Magazine,https://uxmag.com/feed/,temporary_rss_pool,drop,C,,2,3,5,6,4,2,low,low,1,3,0.1,1,0.2,2,2,,low_ai_density,未证明最近内容长期保持高 AI 密度。
The JetBrains Blog,http://blog.jetbrains.com/feed/,temporary_rss_pool,drop,C,,5,5,5,6,4,5,medium,low,1,3,0.1,1,0.2,2,2,,candidate_not_curated,可能 AI 相关，但未达到本轮核心池的稳定性/独特性/低噪声要求。
Microsoft Research Blog,http://research.microsoft.com/rss/news.xml,temporary_rss_pool,drop,C,,2,3,5,6,4,2,low,low,1,3,0.1,1,0.2,2,2,,low_ai_density,未证明最近内容长期保持高 AI 密度。
InfoQ,http://www.infoq.com/rss/rss.action,temporary_rss_pool,drop,C,,2,3,5,6,4,2,low,low,1,3,0.1,1,0.2,2,2,,low_ai_density,未证明最近内容长期保持高 AI 密度。
Smashing Magazine,http://rss1.smashingmagazine.com/feed/,temporary_rss_pool,drop,C,,2,3,5,6,4,2,low,low,1,3,0.1,1,0.2,2,2,,low_ai_density,未证明最近内容长期保持高 AI 密度。
机器之心,temporary_pool_ref_redacted,temporary_rss_pool,drop,C,,2,3,5,4,4,2,low,low,1,3,0.1,1,0.2,2,8,,wechat_rss_high_risk,公众号 RSS 依赖第三方桥接和平台策略，作为可选高风险方向记录，不进入核心池。
爱范儿,http://www.ifanr.com/feed,temporary_rss_pool,drop,C,,2,3,5,6,4,2,low,low,1,3,0.1,1,0.2,2,2,,low_ai_density,未证明最近内容长期保持高 AI 密度。
The IntelliJ IDEA Blog,http://blogs.jetbrains.com/idea/feed/,temporary_rss_pool,drop,C,,5,5,5,6,4,5,medium,low,1,3,0.1,1,0.2,2,2,,candidate_not_curated,可能 AI 相关，但未达到本轮核心池的稳定性/独特性/低噪声要求。
阮一峰的网络日志,http://feeds.feedburner.com/ruanyifeng,temporary_rss_pool,drop,C,,2,3,5,6,4,2,low,low,1,3,0.1,1,0.7,7,2,,generic_tech_noise,泛技术源质量可能高，但 AI 密度不足，不进入默认核心池。
The GitHub Blog,https://github.blog/feed/,temporary_rss_pool,drop,C,,2,3,5,6,4,2,low,low,1,3,0.1,1,0.2,2,2,,low_ai_density,未证明最近内容长期保持高 AI 密度。
freeCodeCamp.org,https://www.freecodecamp.org/news/rss/,temporary_rss_pool,drop,C,,2,3,5,6,4,2,low,low,1,3,0.1,1,0.2,2,2,,low_ai_density,未证明最近内容长期保持高 AI 密度。
OpenAI Blog,https://openai.com/news/rss.xml,curated_ai_sources,keep,S,official,10,10,8,9,10,10,high,low,0,0,0.0,0,0.0,0,1,9.65,,OpenAI 官方长文、产品公告、研究和安全更新的 RSS 源。
MongoDB Blog,https://www.mongodb.com/blog/rss,temporary_rss_pool,drop,C,,2,3,5,6,4,2,low,low,1,3,0.1,1,0.2,2,2,,low_ai_density,未证明最近内容长期保持高 AI 密度。
Databricks,https://www.databricks.com/feed,temporary_rss_pool,drop,C,,2,3,5,6,4,2,low,low,1,3,0.1,1,0.2,2,2,,low_ai_density,未证明最近内容长期保持高 AI 密度。
Visual Studio Blog,https://devblogs.microsoft.com/visualstudio/feed/,temporary_rss_pool,drop,C,,2,3,5,6,4,2,low,low,1,3,0.1,1,0.2,2,2,,low_ai_density,未证明最近内容长期保持高 AI 密度。
Google Developers Blog,https://developers.googleblog.com/feeds/posts/default,temporary_rss_pool,drop,C,,2,3,5,6,4,2,low,low,1,3,0.1,1,0.2,2,2,,low_ai_density,未证明最近内容长期保持高 AI 密度。
Node.js Blog,https://nodejs.org/en/feed/blog.xml,temporary_rss_pool,drop,C,,2,3,5,6,4,2,low,low,1,3,0.1,1,0.2,2,2,,low_ai_density,未证明最近内容长期保持高 AI 密度。
Docker,https://www.docker.com/feed/,temporary_rss_pool,drop,C,,2,3,5,6,4,2,low,low,1,3,0.1,1,0.2,2,2,,low_ai_density,未证明最近内容长期保持高 AI 密度。
阿里技术,temporary_pool_ref_redacted,temporary_rss_pool,drop,C,,2,3,5,4,4,2,low,low,1,3,0.1,1,0.2,2,8,,wechat_rss_high_risk,公众号 RSS 依赖第三方桥接和平台策略，作为可选高风险方向记录，不进入核心池。
小米技术,temporary_pool_ref_redacted,temporary_rss_pool,drop,C,,2,3,5,4,4,2,low,low,1,3,0.1,1,0.2,2,8,,wechat_rss_high_risk,公众号 RSS 依赖第三方桥接和平台策略，作为可选高风险方向记录，不进入核心池。
哔哩哔哩技术,temporary_pool_ref_redacted,temporary_rss_pool,drop,C,,2,3,5,4,4,2,low,low,1,3,0.1,1,0.2,2,8,,wechat_rss_high_risk,公众号 RSS 依赖第三方桥接和平台策略，作为可选高风险方向记录，不进入核心池。
阿里云开发者,temporary_pool_ref_redacted,temporary_rss_pool,drop,C,,2,3,5,4,4,2,low,low,1,3,0.1,1,0.2,2,8,,wechat_rss_high_risk,公众号 RSS 依赖第三方桥接和平台策略，作为可选高风险方向记录，不进入核心池。
字节跳动技术团队,temporary_pool_ref_redacted,temporary_rss_pool,drop,C,,2,3,5,4,4,2,low,low,1,3,0.1,1,0.2,2,8,,wechat_rss_high_risk,公众号 RSS 依赖第三方桥接和平台策略，作为可选高风险方向记录，不进入核心池。
极客公园,temporary_pool_ref_redacted,temporary_rss_pool,drop,C,,2,3,5,4,4,2,low,low,1,3,0.1,1,0.2,2,8,,wechat_rss_high_risk,公众号 RSS 依赖第三方桥接和平台策略，作为可选高风险方向记录，不进入核心池。
美团技术团队,https://tech.meituan.com/feed/,temporary_rss_pool,drop,C,,2,3,5,6,4,2,low,low,1,3,0.1,1,0.7,7,2,,generic_big_factory_engineering,综合大厂工程号 AI 密度不稳定，混有后端、前端、运维、业务工程等内容。
Stack Overflow Blog,http://blog.stackoverflow.com/feed/,temporary_rss_pool,drop,C,,2,3,5,6,4,2,low,low,1,3,0.1,1,0.2,2,2,,low_ai_density,未证明最近内容长期保持高 AI 密度。
Vercel News,https://vercel.com/atom,temporary_rss_pool,drop,C,,2,3,5,6,4,2,low,low,1,3,0.1,1,0.2,2,2,,low_ai_density,未证明最近内容长期保持高 AI 密度。
The Cloudflare Blog,https://blog.cloudflare.com/rss,temporary_rss_pool,drop,C,,2,3,5,6,4,2,low,low,1,3,0.1,1,0.2,2,2,,low_ai_density,未证明最近内容长期保持高 AI 密度。
ShowMeAI研究中心,temporary_pool_ref_redacted,temporary_rss_pool,drop,C,,4,5,5,4,4,4,low,low,1,3,0.1,1,0.2,2,8,,wechat_rss_high_risk,公众号 RSS 依赖第三方桥接和平台策略，作为可选高风险方向记录，不进入核心池。
奇舞精选,temporary_pool_ref_redacted,temporary_rss_pool,drop,C,,2,3,5,4,4,2,low,low,1,3,0.1,1,0.2,2,8,,wechat_rss_high_risk,公众号 RSS 依赖第三方桥接和平台策略，作为可选高风险方向记录，不进入核心池。
京东技术,temporary_pool_ref_redacted,temporary_rss_pool,drop,C,,2,3,5,4,4,2,low,low,1,3,0.1,1,0.2,2,8,,wechat_rss_high_risk,公众号 RSS 依赖第三方桥接和平台策略，作为可选高风险方向记录，不进入核心池。
硅谷科技评论,temporary_pool_ref_redacted,temporary_rss_pool,drop,C,,2,3,5,4,4,2,low,low,1,3,0.1,1,0.2,2,8,,wechat_rss_high_risk,公众号 RSS 依赖第三方桥接和平台策略，作为可选高风险方向记录，不进入核心池。
得物技术,temporary_pool_ref_redacted,temporary_rss_pool,drop,C,,2,3,5,4,4,2,low,low,1,3,0.1,1,0.2,2,8,,wechat_rss_high_risk,公众号 RSS 依赖第三方桥接和平台策略，作为可选高风险方向记录，不进入核心池。
百度Geek说,temporary_pool_ref_redacted,temporary_rss_pool,drop,C,,2,3,5,4,4,2,low,low,1,3,0.1,1,0.2,2,8,,wechat_rss_high_risk,公众号 RSS 依赖第三方桥接和平台策略，作为可选高风险方向记录，不进入核心池。
大淘宝技术,temporary_pool_ref_redacted,temporary_rss_pool,drop,C,,2,3,5,4,4,2,low,low,1,3,0.1,1,0.2,2,8,,wechat_rss_high_risk,公众号 RSS 依赖第三方桥接和平台策略，作为可选高风险方向记录，不进入核心池。
Web3天空之城,temporary_pool_ref_redacted,temporary_rss_pool,drop,C,,2,3,5,4,4,2,low,low,1,3,0.1,1,0.2,2,8,,wechat_rss_high_risk,公众号 RSS 依赖第三方桥接和平台策略，作为可选高风险方向记录，不进入核心池。
AI前线,temporary_pool_ref_redacted,temporary_rss_pool,drop,C,,4,5,5,4,4,4,low,low,1,3,0.1,1,0.2,2,8,,wechat_rss_high_risk,公众号 RSS 依赖第三方桥接和平台策略，作为可选高风险方向记录，不进入核心池。
新智元,temporary_pool_ref_redacted,temporary_rss_pool,drop,C,,2,3,5,4,4,2,low,low,1,3,0.1,1,0.2,2,8,,wechat_rss_high_risk,公众号 RSS 依赖第三方桥接和平台策略，作为可选高风险方向记录，不进入核心池。
51CTO技术栈,temporary_pool_ref_redacted,temporary_rss_pool,drop,C,,2,3,5,4,4,2,low,low,1,3,0.1,1,0.2,2,8,,wechat_rss_high_risk,公众号 RSS 依赖第三方桥接和平台策略，作为可选高风险方向记录，不进入核心池。
优设,temporary_pool_ref_redacted,temporary_rss_pool,drop,C,,2,3,5,4,4,2,low,low,1,3,0.1,1,0.2,2,8,,wechat_rss_high_risk,公众号 RSS 依赖第三方桥接和平台策略，作为可选高风险方向记录，不进入核心池。
前端充电宝,temporary_pool_ref_redacted,temporary_rss_pool,drop,C,,2,3,5,4,4,2,low,low,1,3,0.1,1,0.2,2,8,,wechat_rss_high_risk,公众号 RSS 依赖第三方桥接和平台策略，作为可选高风险方向记录，不进入核心池。
稀土掘金技术社区,temporary_pool_ref_redacted,temporary_rss_pool,drop,C,,2,3,5,4,4,2,low,low,1,3,0.1,1,0.2,2,8,,wechat_rss_high_risk,公众号 RSS 依赖第三方桥接和平台策略，作为可选高风险方向记录，不进入核心池。
腾讯云开发者,temporary_pool_ref_redacted,temporary_rss_pool,drop,C,,2,3,5,4,4,2,low,low,1,3,0.1,1,0.2,2,8,,wechat_rss_high_risk,公众号 RSS 依赖第三方桥接和平台策略，作为可选高风险方向记录，不进入核心池。
体验进阶,temporary_pool_ref_redacted,temporary_rss_pool,drop,C,,2,3,5,4,4,2,low,low,1,3,0.1,1,0.2,2,8,,wechat_rss_high_risk,公众号 RSS 依赖第三方桥接和平台策略，作为可选高风险方向记录，不进入核心池。
前端早读课,temporary_pool_ref_redacted,temporary_rss_pool,drop,C,,2,3,5,4,4,2,low,low,1,3,0.1,1,0.2,2,8,,wechat_rss_high_risk,公众号 RSS 依赖第三方桥接和平台策略，作为可选高风险方向记录，不进入核心池。
开源服务指南,temporary_pool_ref_redacted,temporary_rss_pool,drop,C,,2,3,5,4,4,2,low,low,1,3,0.1,1,0.2,2,8,,wechat_rss_high_risk,公众号 RSS 依赖第三方桥接和平台策略，作为可选高风险方向记录，不进入核心池。
dbaplus社群,temporary_pool_ref_redacted,temporary_rss_pool,drop,C,,2,3,5,4,4,2,low,low,1,3,0.1,1,0.2,2,8,,wechat_rss_high_risk,公众号 RSS 依赖第三方桥接和平台策略，作为可选高风险方向记录，不进入核心池。
超人的电话亭,temporary_pool_ref_redacted,temporary_rss_pool,drop,C,,2,3,5,4,4,2,low,low,1,3,0.1,1,0.2,2,8,,wechat_rss_high_risk,公众号 RSS 依赖第三方桥接和平台策略，作为可选高风险方向记录，不进入核心池。
Qunar技术沙龙,temporary_pool_ref_redacted,temporary_rss_pool,drop,C,,2,3,5,4,4,2,low,low,1,3,0.1,1,0.2,2,8,,wechat_rss_high_risk,公众号 RSS 依赖第三方桥接和平台策略，作为可选高风险方向记录，不进入核心池。
42章经,temporary_pool_ref_redacted,temporary_rss_pool,drop,C,,2,3,5,4,4,2,low,low,1,3,0.1,1,0.2,2,8,,wechat_rss_high_risk,公众号 RSS 依赖第三方桥接和平台策略，作为可选高风险方向记录，不进入核心池。
随机小分队,temporary_pool_ref_redacted,temporary_rss_pool,drop,C,,2,3,5,4,4,2,low,low,1,3,0.1,1,0.2,2,8,,wechat_rss_high_risk,公众号 RSS 依赖第三方桥接和平台策略，作为可选高风险方向记录，不进入核心池。
阿里研究院,temporary_pool_ref_redacted,temporary_rss_pool,drop,C,,2,3,5,4,4,2,low,low,1,3,0.1,1,0.2,2,8,,wechat_rss_high_risk,公众号 RSS 依赖第三方桥接和平台策略，作为可选高风险方向记录，不进入核心池。
深思圈,temporary_pool_ref_redacted,temporary_rss_pool,drop,C,,2,3,5,4,4,2,low,low,1,3,0.1,1,0.2,2,8,,wechat_rss_high_risk,公众号 RSS 依赖第三方桥接和平台策略，作为可选高风险方向记录，不进入核心池。
Hugging Face,https://x.com/huggingface,curated_ai_sources,keep,A,technical_share,9,8,9,8,9,9,high,low,1,1,0.0,0,0.0,0,4,8.2,,模型、数据集、开源生态和实践工具的高密度技术源。
创业邦,temporary_pool_ref_redacted,temporary_rss_pool,drop,C,,2,3,5,4,4,2,low,medium,3,3,0.1,1,0.2,2,8,,wechat_rss_high_risk,公众号 RSS 依赖第三方桥接和平台策略，作为可选高风险方向记录，不进入核心池。
Founder Park,temporary_pool_ref_redacted,temporary_rss_pool,drop,C,,2,3,5,4,4,2,low,low,1,3,0.1,1,0.2,2,8,,wechat_rss_high_risk,公众号 RSS 依赖第三方桥接和平台策略，作为可选高风险方向记录，不进入核心池。
vivo互联网技术,temporary_pool_ref_redacted,temporary_rss_pool,drop,C,,2,3,5,4,4,2,low,low,1,3,0.1,1,0.2,2,8,,wechat_rss_high_risk,公众号 RSS 依赖第三方桥接和平台策略，作为可选高风险方向记录，不进入核心池。
歸藏的AI工具箱,temporary_pool_ref_redacted,temporary_rss_pool,drop,C,,4,5,5,4,4,4,low,low,1,3,0.1,1,0.2,2,8,,wechat_rss_high_risk,公众号 RSS 依赖第三方桥接和平台策略，作为可选高风险方向记录，不进入核心池。
Clip设计夹,temporary_pool_ref_redacted,temporary_rss_pool,drop,C,,2,3,5,4,4,2,low,low,1,3,0.1,1,0.2,2,8,,wechat_rss_high_risk,公众号 RSS 依赖第三方桥接和平台策略，作为可选高风险方向记录，不进入核心池。
The Keyword (blog.google),https://blog.google/rss,temporary_rss_pool,drop,C,,2,3,5,6,4,2,low,low,1,3,0.1,1,0.2,2,2,,low_ai_density,未证明最近内容长期保持高 AI 密度。
腾讯科技,temporary_pool_ref_redacted,temporary_rss_pool,drop,C,,2,3,5,4,4,2,low,low,1,3,0.1,1,0.2,2,8,,wechat_rss_high_risk,公众号 RSS 依赖第三方桥接和平台策略，作为可选高风险方向记录，不进入核心池。
InfoQ 中文,temporary_pool_ref_redacted,temporary_rss_pool,drop,C,,2,3,5,4,4,2,low,low,1,3,0.1,1,0.2,2,8,,wechat_rss_high_risk,公众号 RSS 依赖第三方桥接和平台策略，作为可选高风险方向记录，不进入核心池。
LlamaIndex Blog,https://www.llamaindex.ai/blog/feed,curated_ai_sources,keep,B,technical_share,8,8,7,8,8,8,high,low,1,1,0.0,0,0.0,0,1,7.55,,RAG、数据工作流和智能体应用构建的实践源。
Dify,temporary_pool_ref_redacted,temporary_rss_pool,drop,C,,2,3,5,4,4,2,low,low,1,3,0.1,1,0.2,2,8,,wechat_rss_high_risk,公众号 RSS 依赖第三方桥接和平台策略，作为可选高风险方向记录，不进入核心池。
海外独角兽,temporary_pool_ref_redacted,temporary_rss_pool,drop,C,,2,3,5,4,4,2,low,low,1,3,0.1,1,0.2,2,8,,wechat_rss_high_risk,公众号 RSS 依赖第三方桥接和平台策略，作为可选高风险方向记录，不进入核心池。
CSDN,temporary_pool_ref_redacted,temporary_rss_pool,drop,C,,2,3,5,4,4,2,low,low,1,3,0.1,1,0.2,2,8,,wechat_rss_high_risk,公众号 RSS 依赖第三方桥接和平台策略，作为可选高风险方向记录，不进入核心池。
谷歌开发者,temporary_pool_ref_redacted,temporary_rss_pool,drop,C,,2,3,5,4,4,2,low,low,1,3,0.1,1,0.2,2,8,,wechat_rss_high_risk,公众号 RSS 依赖第三方桥接和平台策略，作为可选高风险方向记录，不进入核心池。
赛博禅心,temporary_pool_ref_redacted,temporary_rss_pool,drop,C,,2,3,5,4,4,2,low,low,1,3,0.1,1,0.2,2,8,,wechat_rss_high_risk,公众号 RSS 依赖第三方桥接和平台策略，作为可选高风险方向记录，不进入核心池。
笔记侠,temporary_pool_ref_redacted,temporary_rss_pool,drop,C,,2,3,5,4,4,2,low,low,1,3,0.1,1,0.2,2,8,,wechat_rss_high_risk,公众号 RSS 依赖第三方桥接和平台策略，作为可选高风险方向记录，不进入核心池。
小红书技术REDtech,temporary_pool_ref_redacted,temporary_rss_pool,drop,C,,2,3,5,4,4,2,low,low,1,3,0.1,1,0.2,2,8,,wechat_rss_high_risk,公众号 RSS 依赖第三方桥接和平台策略，作为可选高风险方向记录，不进入核心池。
智谱,temporary_pool_ref_redacted,temporary_rss_pool,drop,C,,2,3,5,4,4,2,low,low,1,3,0.1,1,0.2,2,8,,wechat_rss_high_risk,公众号 RSS 依赖第三方桥接和平台策略，作为可选高风险方向记录，不进入核心池。
月之暗面 Kimi,temporary_pool_ref_redacted,temporary_rss_pool,drop,C,,2,3,5,4,4,2,low,low,1,3,0.1,1,0.2,2,8,,wechat_rss_high_risk,公众号 RSS 依赖第三方桥接和平台策略，作为可选高风险方向记录，不进入核心池。
通义大模型,temporary_pool_ref_redacted,temporary_rss_pool,drop,C,,4,5,5,4,4,4,low,low,1,3,0.1,1,0.2,2,8,,wechat_rss_high_risk,公众号 RSS 依赖第三方桥接和平台策略，作为可选高风险方向记录，不进入核心池。
百度AI,temporary_pool_ref_redacted,temporary_rss_pool,drop,C,,4,5,5,4,4,4,low,low,1,3,0.1,1,0.2,2,8,,wechat_rss_high_risk,公众号 RSS 依赖第三方桥接和平台策略，作为可选高风险方向记录，不进入核心池。
HelloGitHub,temporary_pool_ref_redacted,temporary_rss_pool,drop,C,,2,3,5,4,4,2,low,low,1,3,0.1,1,0.2,2,8,,wechat_rss_high_risk,公众号 RSS 依赖第三方桥接和平台策略，作为可选高风险方向记录，不进入核心池。
经纬创投,temporary_pool_ref_redacted,temporary_rss_pool,drop,C,,2,3,5,4,4,2,low,low,1,3,0.1,1,0.2,2,8,,wechat_rss_high_risk,公众号 RSS 依赖第三方桥接和平台策略，作为可选高风险方向记录，不进入核心池。
腾讯混元,temporary_pool_ref_redacted,temporary_rss_pool,drop,C,,2,3,5,4,4,2,low,low,1,3,0.1,1,0.2,2,8,,wechat_rss_high_risk,公众号 RSS 依赖第三方桥接和平台策略，作为可选高风险方向记录，不进入核心池。
Qdrant Blog,https://qdrant.tech/index.xml,curated_ai_sources,keep,B,technical_share,7,8,7,8,7,7,medium,medium,2,1,0.0,0,0.1,1,1,6.7,,向量数据库、检索和 RAG 基础设施实践源，作为技术补充观察。
刘润,temporary_pool_ref_redacted,temporary_rss_pool,drop,C,,2,3,5,4,4,2,low,medium,3,3,0.1,1,0.2,2,8,,wechat_rss_high_risk,公众号 RSS 依赖第三方桥接和平台策略，作为可选高风险方向记录，不进入核心池。
吴晓波频道,temporary_pool_ref_redacted,temporary_rss_pool,drop,C,,2,3,5,4,4,2,low,medium,3,3,0.1,1,0.2,2,8,,wechat_rss_high_risk,公众号 RSS 依赖第三方桥接和平台策略，作为可选高风险方向记录，不进入核心池。
智东西,temporary_pool_ref_redacted,temporary_rss_pool,drop,C,,2,3,5,4,4,2,low,low,1,3,0.1,1,0.2,2,8,,wechat_rss_high_risk,公众号 RSS 依赖第三方桥接和平台策略，作为可选高风险方向记录，不进入核心池。
腾讯研究院,temporary_pool_ref_redacted,temporary_rss_pool,drop,C,,2,3,5,4,4,2,low,low,1,3,0.1,1,0.2,2,8,,wechat_rss_high_risk,公众号 RSS 依赖第三方桥接和平台策略，作为可选高风险方向记录，不进入核心池。
SuperTechFans,https://www.supertechfans.com/cn/index.xml,temporary_rss_pool,drop,C,,2,3,5,6,4,2,low,low,1,3,0.1,1,0.2,2,2,,low_ai_density,未证明最近内容长期保持高 AI 密度。
有机大橘子,temporary_pool_ref_redacted,temporary_rss_pool,drop,C,,2,3,5,4,4,2,low,low,1,3,0.1,1,0.2,2,8,,wechat_rss_high_risk,公众号 RSS 依赖第三方桥接和平台策略，作为可选高风险方向记录，不进入核心池。
Thoughtworks洞见,temporary_pool_ref_redacted,temporary_rss_pool,drop,C,,2,3,5,4,4,2,low,low,1,3,0.1,1,0.2,2,8,,wechat_rss_high_risk,公众号 RSS 依赖第三方桥接和平台策略，作为可选高风险方向记录，不进入核心池。
浮之静,temporary_pool_ref_redacted,temporary_rss_pool,drop,C,,2,3,5,4,4,2,low,low,1,3,0.1,1,0.2,2,8,,wechat_rss_high_risk,公众号 RSS 依赖第三方桥接和平台策略，作为可选高风险方向记录，不进入核心池。
数字生命卡兹克,temporary_pool_ref_redacted,temporary_rss_pool,drop,C,,2,3,5,4,4,2,low,low,1,3,0.1,1,0.2,2,8,,wechat_rss_high_risk,公众号 RSS 依赖第三方桥接和平台策略，作为可选高风险方向记录，不进入核心池。
AI产品黄叔,temporary_pool_ref_redacted,temporary_rss_pool,drop,C,,4,5,5,4,4,4,low,low,1,3,0.1,1,0.2,2,8,,wechat_rss_high_risk,公众号 RSS 依赖第三方桥接和平台策略，作为可选高风险方向记录，不进入核心池。
印记中文,temporary_pool_ref_redacted,temporary_rss_pool,drop,C,,2,3,5,4,4,2,low,low,1,3,0.1,1,0.2,2,8,,wechat_rss_high_risk,公众号 RSS 依赖第三方桥接和平台策略，作为可选高风险方向记录，不进入核心池。
真格基金,temporary_pool_ref_redacted,temporary_rss_pool,drop,C,,2,3,5,4,4,2,low,low,1,3,0.1,1,0.2,2,8,,wechat_rss_high_risk,公众号 RSS 依赖第三方桥接和平台策略，作为可选高风险方向记录，不进入核心池。
大模型智能,temporary_pool_ref_redacted,temporary_rss_pool,drop,C,,4,5,5,4,4,4,low,low,1,3,0.1,1,0.2,2,8,,wechat_rss_high_risk,公众号 RSS 依赖第三方桥接和平台策略，作为可选高风险方向记录，不进入核心池。
甲子光年,temporary_pool_ref_redacted,temporary_rss_pool,drop,C,,2,3,5,4,4,2,low,low,1,3,0.1,1,0.2,2,8,,wechat_rss_high_risk,公众号 RSS 依赖第三方桥接和平台策略，作为可选高风险方向记录，不进入核心池。
